target,expected_binding,template_mode,n_samples,best_rmsd_sample_idx,best_rmsd_binder_ca_rmsd,best_rmsd_cdr_ca_rmsd,best_rmsd_ipsae_min,best_rmsd_iptm,best_rmsd_ipae_min,best_ipsae_sample_idx,best_ipsae,best_ipsae_binder_ca_rmsd,best_ipsae_cdr_ca_rmsd,best_ipsae_iptm,best_ipsae_ipae_min,best_ipsae_structure_path,best_rmsd_structure_path
alpha,binder,no_template,1,0,46.43892817606491,31.530050253022843,0.4731863737106323,0.6187676191329956,5.54596471786499,0,0.4731863737106323,46.43892817606491,31.530050253022843,0.6187676191329956,5.54596471786499,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/no_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/no_template/sample_0.cif
alpha,binder,target_template,1,0,25.17899412964828,27.051669491670317,0.0,0.18709927797317505,14.540942192077637,0,0.0,25.17899412964828,27.051669491670317,0.18709927797317505,14.540942192077637,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/target_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/target_template/sample_0.cif
alpha,binder,target_plus_framework_binder_template,1,0,54.87236619746377,46.88010190679811,0.7075907588005066,0.863621711730957,1.5978575944900513,0,0.7075907588005066,54.87236619746377,46.88010190679811,0.863621711730957,1.5978575944900513,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/target_plus_framework_binder_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/target_plus_framework_binder_template/sample_0.cif
alpha,binder,full_template,1,0,33.41460407334412,28.13709365158255,0.8158210515975952,0.9352302551269531,0.37647849321365356,0,0.8158210515975952,33.41460407334412,28.13709365158255,0.9352302551269531,0.37647849321365356,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/full_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/alpha/full_template/sample_0.cif
jn1,negative_or_escape,no_template,1,0,11.750103565811921,9.491669864747456,0.5869518518447876,0.7726093530654907,2.962001323699951,0,0.5869518518447876,11.750103565811921,9.491669864747456,0.7726093530654907,2.962001323699951,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/no_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/no_template/sample_0.cif
jn1,negative_or_escape,target_template,1,0,45.459487023284424,37.0407095843361,0.0,0.24302004277706146,9.940153121948242,0,0.0,45.459487023284424,37.0407095843361,0.24302004277706146,9.940153121948242,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/target_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/target_template/sample_0.cif
jn1,negative_or_escape,target_plus_framework_binder_template,1,0,65.12229681449324,46.58566810164725,0.47505903244018555,0.7189412117004395,3.8924479484558105,0,0.47505903244018555,65.12229681449324,46.58566810164725,0.7189412117004395,3.8924479484558105,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/target_plus_framework_binder_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/target_plus_framework_binder_template/sample_0.cif
jn1,negative_or_escape,full_template,1,0,62.657061515576935,40.357846914167745,0.5910007953643799,0.8333719968795776,1.8865745067596436,0,0.5910007953643799,62.657061515576935,40.357846914167745,0.8333719968795776,1.8865745067596436,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/full_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s50/structures/jn1/full_template/sample_0.cif
