target,expected_binding,template_mode,n_samples,rmsd_filter_threshold,n_rmsd_pass,best_ranked_sample_idx,best_ranked_rmsd_pass,best_ranked_ipsae,best_ranked_iptm,best_ranked_ipae_min,best_ranked_binder_ca_rmsd,best_ranked_cdr_ca_rmsd,best_ranked_structure_path,best_rmsd_sample_idx,best_rmsd_binder_ca_rmsd,best_rmsd_cdr_ca_rmsd,best_rmsd_ipsae_min,best_rmsd_iptm,best_rmsd_ipae_min,best_ipsae_sample_idx,best_ipsae,best_ipsae_binder_ca_rmsd,best_ipsae_cdr_ca_rmsd,best_ipsae_iptm,best_ipsae_ipae_min,best_ipsae_structure_path,best_rmsd_structure_path
alpha,binder,no_template,1,2.5,0,0,False,0.3534132838249206,0.5712490677833557,7.685569763183594,9.738618286829045,5.133458106192352,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/no_template/sample_0.cif,0,9.738618286829045,5.133458106192352,0.3534132838249206,0.5712490677833557,7.685569763183594,0,0.3534132838249206,9.738618286829045,5.133458106192352,0.5712490677833557,7.685569763183594,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/no_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/no_template/sample_0.cif
alpha,binder,target_template,1,2.5,0,0,False,0.4794093370437622,0.6267341375350952,6.133979320526123,10.84737577954336,5.471639323266109,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/target_template/sample_0.cif,0,10.84737577954336,5.471639323266109,0.4794093370437622,0.6267341375350952,6.133979320526123,0,0.4794093370437622,10.84737577954336,5.471639323266109,0.6267341375350952,6.133979320526123,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/target_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/target_template/sample_0.cif
alpha,binder,target_plus_framework_binder_template,1,2.5,0,0,False,0.7187900543212891,0.8522040843963623,1.846152067184448,4.307302840759739,2.7140571785119865,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/target_plus_framework_binder_template/sample_0.cif,0,4.307302840759739,2.7140571785119865,0.7187900543212891,0.8522040843963623,1.846152067184448,0,0.7187900543212891,4.307302840759739,2.7140571785119865,0.8522040843963623,1.846152067184448,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/target_plus_framework_binder_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/target_plus_framework_binder_template/sample_0.cif
alpha,binder,full_template,1,2.5,1,0,True,0.8728957176208496,0.9524874687194824,0.3475046753883362,1.6610576113597295,0.7831793712933346,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/full_template/sample_0.cif,0,1.6610576113597295,0.7831793712933346,0.8728957176208496,0.9524874687194824,0.3475046753883362,0,0.8728957176208496,1.6610576113597295,0.7831793712933346,0.9524874687194824,0.3475046753883362,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/full_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/alpha/full_template/sample_0.cif
jn1,negative_or_escape,no_template,1,2.5,0,0,False,0.0,0.2940809726715088,13.67959213256836,11.900973168874506,6.648189904227297,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/no_template/sample_0.cif,0,11.900973168874506,6.648189904227297,0.0,0.2940809726715088,13.67959213256836,0,0.0,11.900973168874506,6.648189904227297,0.2940809726715088,13.67959213256836,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/no_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/no_template/sample_0.cif
jn1,negative_or_escape,target_template,1,2.5,0,0,False,0.175541415810585,0.5061471462249756,7.662770748138428,61.39405608620748,45.99503066248237,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/target_template/sample_0.cif,0,61.39405608620748,45.99503066248237,0.175541415810585,0.5061471462249756,7.662770748138428,0,0.175541415810585,61.39405608620748,45.99503066248237,0.5061471462249756,7.662770748138428,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/target_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/target_template/sample_0.cif
jn1,negative_or_escape,target_plus_framework_binder_template,1,2.5,0,0,False,0.1681006699800491,0.4927442073822021,7.548477172851562,63.36966796853035,47.350236290822735,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/target_plus_framework_binder_template/sample_0.cif,0,63.36966796853035,47.350236290822735,0.1681006699800491,0.4927442073822021,7.548477172851562,0,0.1681006699800491,63.36966796853035,47.350236290822735,0.4927442073822021,7.548477172851562,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/target_plus_framework_binder_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/target_plus_framework_binder_template/sample_0.cif
jn1,negative_or_escape,full_template,1,2.5,1,0,True,0.5063232183456421,0.7440444231033325,3.640470266342163,2.0904269141593947,1.4694205350007743,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/full_template/sample_0.cif,0,2.0904269141593947,1.4694205350007743,0.5063232183456421,0.7440444231033325,3.640470266342163,0,0.5063232183456421,2.0904269141593947,1.4694205350007743,0.7440444231033325,3.640470266342163,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/full_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200_fixed_rmsd/structures/jn1/full_template/sample_0.cif
