assay,target,n_rows,n_scored_for_stats,good_count,neutral_count,bad_count,wt_median_alphaseq_affinity,good_threshold_log10_kd,esm2_binder_spearman_vs_delta_affinity,esm2_binder_pearson_vs_delta_affinity,esm2_binder_auc_low_loss_good,esm2_binder_auc_high_loss_good,esm2_binder_top_5pct_low_loss_good_enrichment,esm2_binder_top_5pct_low_loss_good_fraction,esm2_target_spearman_vs_delta_affinity,esm2_target_pearson_vs_delta_affinity,esm2_target_auc_low_loss_good,esm2_target_auc_high_loss_good,esm2_target_top_5pct_low_loss_good_enrichment,esm2_target_top_5pct_low_loss_good_fraction
YM_0549,SARS-CoV2_RBD_(6LZG),29988,25594,289,8481,16824,1.4559455218548578,0.3,0.17514125071316822,0.22756383686478324,0.6076555653729143,0.3923444346270857,1.5221345155709345,0.0171875,0.17047766113882712,0.22287057192494972,0.606171032649025,0.39382896735097495,1.6605103806228374,0.01875
YM_1068,SARS-CoV2_RBD_(6LZG),37070,24212,4135,12687,7390,1.559120464109041,0.3,0.10901317637527647,0.3027744399661312,0.5535322906048076,0.44646770939519237,0.36263713221307703,0.061932287365813375,0.11755045036265743,0.3049671624074543,0.5594460634243799,0.4405539365756202,0.38197777926444115,0.06523534269199009
