assay,target,n_rows,n_with_affinity,n_wt_rows,n_fully_loss_covered,n_scored_for_stats,wt_median_alphaseq_affinity,good_threshold_log10_kd,good_count,neutral_count,bad_count,esm2_delta_nll_sum_spearman_vs_delta_affinity,esm2_delta_nll_sum_pearson_vs_delta_affinity,ablang2_delta_nll_sum_spearman_vs_delta_affinity,ablang2_delta_nll_sum_pearson_vs_delta_affinity,mosaic_sequence_delta_loss_sum_spearman_vs_delta_affinity,mosaic_sequence_delta_loss_sum_pearson_vs_delta_affinity,esm2_delta_nll_mean_spearman_vs_delta_affinity,esm2_delta_nll_mean_pearson_vs_delta_affinity,ablang2_delta_nll_mean_spearman_vs_delta_affinity,ablang2_delta_nll_mean_pearson_vs_delta_affinity,mosaic_sequence_delta_loss_mean_spearman_vs_delta_affinity,mosaic_sequence_delta_loss_mean_pearson_vs_delta_affinity,mosaic_sum_auc_good_vs_bad_low_loss_is_good,mosaic_sum_auc_good_vs_bad_high_loss_is_good,mosaic_sum_mannwhitney_u,mosaic_sum_mannwhitney_pvalue,mosaic_sum_mannwhitney_good_median,mosaic_sum_mannwhitney_bad_median,top_1pct_low_loss_top_n,top_1pct_low_loss_good,top_1pct_low_loss_bad,top_1pct_low_loss_neutral,top_1pct_low_loss_good_fraction,top_1pct_low_loss_bad_fraction,top_1pct_low_loss_background_good_fraction,top_1pct_low_loss_good_enrichment,top_1pct_low_loss_hypergeom_good_pvalue,top_5pct_low_loss_top_n,top_5pct_low_loss_good,top_5pct_low_loss_bad,top_5pct_low_loss_neutral,top_5pct_low_loss_good_fraction,top_5pct_low_loss_bad_fraction,top_5pct_low_loss_background_good_fraction,top_5pct_low_loss_good_enrichment,top_5pct_low_loss_hypergeom_good_pvalue,top_10pct_low_loss_top_n,top_10pct_low_loss_good,top_10pct_low_loss_bad,top_10pct_low_loss_neutral,top_10pct_low_loss_good_fraction,top_10pct_low_loss_bad_fraction,top_10pct_low_loss_background_good_fraction,top_10pct_low_loss_good_enrichment,top_10pct_low_loss_hypergeom_good_pvalue
YM_0549,SARS-CoV2_RBD_(6LZG),29988,27508,50,2237,2164,1.4559455218548578,0.3,36,768,1360,-0.11471608694414265,-0.09694014185711584,0.04773374061729986,0.0481902110605014,-0.041451097920165686,-0.03341378796978979,-0.20630779568876625,-0.19381989369261096,-0.07740545468845235,-0.06811807448631568,-0.17102650887894388,-0.1545131073935399,0.5248570261437908,0.4751429738562091,23263.0,0.6103692072846072,0.0065473079681396,0.0065533041954038505,22,0,11,11,0.0,0.5,0.0166358595194085,0.0,,108,3,67,38,0.027777777777777776,0.6203703703703703,0.0166358595194085,1.6697530864197532,0.2664214249805483,216,5,144,67,0.023148148148148147,0.6666666666666666,0.0166358595194085,1.3914609053497942,0.2870436297240112
YM_1068,SARS-CoV2_RBD_(6LZG),37070,33868,50,560,509,1.559120464109041,0.3,114,280,115,-0.49027302760833225,-0.42344403465032654,-0.3180752651619494,-0.21343008698488655,-0.42139289435689287,-0.34095633038689527,-0.4871700549282911,-0.4388492659854073,-0.308471423898435,-0.21894804199336557,-0.4112462069072823,-0.35411755042096327,0.19668192219679634,0.8033180778032037,10531.5,2.1595481006806616e-15,0.009361481666564801,0.0022144675254821,5,0,3,2,0.0,0.6,0.22396856581532418,0.0,,25,2,12,11,0.08,0.48,0.22396856581532418,0.35719298245614034,0.9871502562606522,51,4,26,21,0.0784313725490196,0.5098039215686274,0.22396856581532418,0.35018919848641206,0.9990255477833285
YM_0549,ALL,29988,27508,50,2237,2164,1.4559455218548578,0.3,36,768,1360,-0.11471608694414265,-0.09694014185711584,0.04773374061729986,0.0481902110605014,-0.041451097920165686,-0.03341378796978979,-0.20630779568876625,-0.19381989369261096,-0.07740545468845235,-0.06811807448631568,-0.17102650887894388,-0.1545131073935399,0.5248570261437908,0.4751429738562091,23263.0,0.6103692072846072,0.0065473079681396,0.0065533041954038505,22,0,11,11,0.0,0.5,0.0166358595194085,0.0,,108,3,67,38,0.027777777777777776,0.6203703703703703,0.0166358595194085,1.6697530864197532,0.2664214249805483,216,5,144,67,0.023148148148148147,0.6666666666666666,0.0166358595194085,1.3914609053497942,0.2870436297240112
YM_1068,ALL,37070,33868,50,560,509,1.559120464109041,0.3,114,280,115,-0.49027302760833225,-0.42344403465032654,-0.3180752651619494,-0.21343008698488655,-0.42139289435689287,-0.34095633038689527,-0.4871700549282911,-0.4388492659854073,-0.308471423898435,-0.21894804199336557,-0.4112462069072823,-0.35411755042096327,0.19668192219679634,0.8033180778032037,10531.5,2.1595481006806616e-15,0.009361481666564801,0.0022144675254821,5,0,3,2,0.0,0.6,0.22396856581532418,0.0,,25,2,12,11,0.08,0.48,0.22396856581532418,0.35719298245614034,0.9871502562606522,51,4,26,21,0.0784313725490196,0.5098039215686274,0.22396856581532418,0.35018919848641206,0.9990255477833285
