target,expected_binding,template_mode,n_samples,best_rmsd_sample_idx,best_rmsd_binder_ca_rmsd,best_rmsd_cdr_ca_rmsd,best_rmsd_ipsae_min,best_rmsd_iptm,best_rmsd_ipae_min,best_ipsae_sample_idx,best_ipsae,best_ipsae_binder_ca_rmsd,best_ipsae_cdr_ca_rmsd,best_ipsae_iptm,best_ipsae_ipae_min,best_ipsae_structure_path,best_rmsd_structure_path
alpha,binder,no_template,1,0,23.76460267135158,15.487421060618777,0.24714745581150055,0.5384869575500488,8.464654922485352,0,0.24714745581150055,23.76460267135158,15.487421060618777,0.5384869575500488,8.464654922485352,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/no_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/no_template/sample_0.cif
alpha,binder,target_template,1,0,33.40778544252662,32.5873233498047,0.4803624153137207,0.6018597483634949,7.112626552581787,0,0.4803624153137207,33.40778544252662,32.5873233498047,0.6018597483634949,7.112626552581787,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/target_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/target_template/sample_0.cif
alpha,binder,target_plus_framework_binder_template,1,0,32.6889805737765,20.574538386149875,0.7181380987167358,0.8513704538345337,1.8688653707504272,0,0.7181380987167358,32.6889805737765,20.574538386149875,0.8513704538345337,1.8688653707504272,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/target_plus_framework_binder_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/target_plus_framework_binder_template/sample_0.cif
alpha,binder,full_template,1,0,43.40271078782946,29.386696450177052,0.8709677457809448,0.951406717300415,0.35070064663887024,0,0.8709677457809448,43.40271078782946,29.386696450177052,0.951406717300415,0.35070064663887024,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/full_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/alpha/full_template/sample_0.cif
jn1,negative_or_escape,no_template,1,0,28.543170863271435,17.658470675438327,0.0,0.29313960671424866,13.51984691619873,0,0.0,28.543170863271435,17.658470675438327,0.29313960671424866,13.51984691619873,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/no_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/no_template/sample_0.cif
jn1,negative_or_escape,target_template,1,0,56.820859985162194,43.57306375009687,0.35663819313049316,0.5821107625961304,6.120602607727051,0,0.35663819313049316,56.820859985162194,43.57306375009687,0.5821107625961304,6.120602607727051,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/target_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/target_template/sample_0.cif
jn1,negative_or_escape,target_plus_framework_binder_template,1,0,53.57884605230627,39.83286666345651,0.4500999450683594,0.661300003528595,4.80409049987793,0,0.4500999450683594,53.57884605230627,39.83286666345651,0.661300003528595,4.80409049987793,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/target_plus_framework_binder_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/target_plus_framework_binder_template/sample_0.cif
jn1,negative_or_escape,full_template,1,0,8.416125123212936,7.038985238288814,0.5164499282836914,0.7529350519180298,3.4269042015075684,0,0.5164499282836914,8.416125123212936,7.038985238288814,0.7529350519180298,3.4269042015075684,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/full_template/sample_0.cif,vhh/P17_boltz2_template_mode_quick_s200/structures/jn1/full_template/sample_0.cif
